ren,tian,jixiong,description
木,木,吉,同为木，相辅相成，成功顺调平安实现目的。
木,火,吉,上进顺利，目的能迅速容易达到。
木,土,吉,表耐吉祥，但成功困难，虽用尽苦心，要达到目的，较迟缓，易患肠胃病。
木,金,凶,命运被庄抑，导致难伸不满的结果，胸部被克，患神经衰弱，呼吸器官等难治之症。
木,水,吉,如草木受雨露之惠，其生长发育无障碍，进步向上。
火,木,吉,受上级长辈的照顾、关心，能顺利成功发达。
火,火,吉,受同僚的辅育而障碍，但如地格为5或6时虽有一时成功也可能。
火,土,吉,能实现希望目的功成名就，但数理不良者却可能不遇机会。
火,金,凶,上进伸展较困难，心身劳累易神经衰弱，易患肺病等症，严重的有自发难症死的可能。
火,水,凶,成功被严重压抑，且有灾祸的急变，易患心脏麻痹或脑溢血，严重者有自杀等情形发生。
土,木,凶,虽有不满不平之状，但以本来的质量德量，可保无大过，易患肠胃病和腹部之症。
土,火,吉,有长辈的上级的爱护，或者得祖辈的余德可保平安无事。
土,土,凶,性格稍迟钝稳重易亲近也易离开，成功虽然较迟，但总体上是幸福的。
土,金,吉,成功顺调，顺利达到目的。
土,水,半吉,处境稍有困难，且频现障碍困难，如果控制驾驶力强，也可以达到目的。
金,木,凶,虽有困难，努力奋斗也可能成功，但一般却身心劳累易遇不乎。
金,火,凶,成功被压抑，除特别例外，一般难伸难满，也有发狂自杀的可能。
金,土,吉,受上辈上级的惠泽深重，身健和能努力发展成功。
金,金,凶,个性刚硬，心地狭窄，易生不和或不测之灾祸，易酿成夫妻争端痛苦不安。
金,水,吉,万事顺调，能达成目的。
水,木,凶,一面成功顺调，一面家庭内部不和不幸，属半福半祸。
水,火,凶,虽有大成功者，一般多处于离乱，穷困之中易惹祸。
水,土,凶,劳而无功，反受灾难，招致他人嘲笑。
水,金,凶,受父祖的惠泽得意外的照料，数理若凶时，必招致家庭中的困难及病灾等。
水,水,凶,素行不修，荒唐散败，若因与地格的关系而大成功，变可能变为泡沫梦幻。
