ren,di,jixiong,description
木,木,吉,基础安泰，能得他人帮助，其雄心常发。
木,火,吉,无害安泰，但天格为9或10时，则天地格相克，而变为凶兆。
木,土,吉,安稳不变，动如立磬石。
木,金,凶,境遇变动异常，常受压迫，又常缝部下的攻击压力，如坐针毡之上。
木,水,凶,一时虽能顺利发展，但不时可能有衰亡，病弱的症兆。
火,木,吉,境遇颇稳固，能得部下之力，地位、财产均稳妥。
火,火,吉,可得一时的吉运，但基础薄弱，缺乏耐久力，但天格为1或2时则为吉利。
火,土,吉,基础坚实，身心安泰，但天格为3或4时，则内部易产生分离倾向，且易陷于短命。
火,金,凶,表面安泰内实不然，家庭或部下之间易生纠纷，也易患精神负担过重和呼吸器官的疾病。
火,水,凶,严重不安定有意外的灾变，可导致财产生命的损失。
土,木,凶,境遇不安定屡次变化漂浮不定，易患肠部疾病。
土,火,吉,安定能逃灾害，能获得意外发展。
土,土,凶,大体上能平静，顺利幸福，若天格为5或6时，则生性不活泼庸劣浅陋，女性则少贞操的品德。
土,金,吉,虽有消极的倾向，但能安定，有所发展。
土,水,凶,严重不安宁，灾祸接连不断，属急变，投落，变死的配置，易患脑溢血。
金,木,凶,外表安定，其实不然，若不慎则易倾覆，易患神经衰弱、肺部及其他难症。
金,火,凶,严重不安定，易违失本性，思想变化无常，易患呼吸器官、脑部的疾病，到老年更显凶兆。
金,土,吉,境遇安定稳固身心安定，德性坚实，而奏大功。
金,金,凶,个性过于明硬固执，故反遭灾祸，陷入不和或孤独，天格为7或8时，有害于健康，灾祸更甚。
金,水,凶,不遇苦，而自苦，有急变衰落的悲运。
水,木,凶,境遇虽安定，数理难免有凶灾易患肺脏或肾脏疾病。
水,火,凶,急祸，急变，大灾之象，易患心脏疾病。
水,土,凶,表面看来安定，但不知何时将被卷入不安定之中。
水,金,凶,基础稳固，有财名，但难免数凶而有不平不满之事。
水,水,凶,具有发挥于一时的大能力、大势力，易变成意外之灾易陷入孤独悲凄。
